"ad_date","platform","avg_daily_spend","min_daily_spend","max_daily_spend"
2021-08-02,Google,7000.60,1587.00,24147.00
2021-08-03,Facebook,8069.38,640.00,21654.00
2021-08-03,Google,4667.67,1617.00,7366.00
2021-08-04,Facebook,8540.44,595.00,26537.00
2021-08-04,Google,9057.00,936.00,25567.00
2021-08-05,Facebook,8528.14,796.00,35695.00
2021-08-05,Google,5298.00,3885.00,6711.00
2021-08-06,Facebook,10622.67,432.00,39949.00
2021-08-06,Google,6234.20,607.00,11757.00
2021-08-07,Facebook,3844.13,629.00,8872.00
2021-08-07,Google,8465.60,1254.00,28251.00
2021-08-08,Facebook,5155.63,579.00,21487.00
2021-08-08,Google,7447.00,855.00,22239.00
2021-08-09,Facebook,5005.89,0.00,17105.00
2021-08-09,Google,9390.50,0.00,35562.00
2021-08-10,Facebook,7370.50,682.00,25167.00
2021-08-10,Google,2425.25,618.00,6999.00
2021-08-11,Facebook,8603.63,783.00,28805.00
2021-08-11,Google,13680.67,2457.00,35915.00
2021-08-12,Facebook,7932.38,220.00,31306.00
2021-08-12,Google,7554.00,1329.00,33399.00
2021-08-13,Facebook,5309.25,287.00,18266.00
2021-08-13,Google,4141.60,1327.00,9178.00
2021-08-14,Facebook,6148.13,381.00,18616.00
2021-08-14,Google,2635.25,1767.00,4359.00
2021-08-15,Facebook,11968.00,754.00,43823.00
2021-08-15,Google,8591.67,1102.00,26805.00
2021-08-16,Facebook,5467.22,189.00,21635.00
2021-08-16,Google,4233.25,1772.00,8208.00
2021-08-17,Facebook,8383.50,499.00,32568.00
2021-08-17,Google,9934.60,188.00,35888.00
2021-08-18,Facebook,9771.25,1340.00,39846.00
2021-08-18,Google,7558.00,1230.00,25576.00
2021-08-19,Facebook,5925.00,2972.00,15258.00
2021-08-19,Google,3648.00,1646.00,7226.00
2021-08-20,Facebook,8512.25,2230.00,26287.00
2021-08-20,Google,10960.00,990.00,36897.00
2021-08-21,Facebook,10622.13,939.00,42480.00
2021-08-21,Google,4401.33,583.00,9535.00
2021-08-22,Facebook,8749.14,1762.00,33051.00
2021-08-22,Google,6767.17,825.00,22269.00
2021-08-23,Facebook,8163.88,1417.00,35226.00
2021-08-23,Google,5510.75,1192.00,7282.00
2021-08-24,Facebook,5137.14,1238.00,10844.00
2021-08-24,Google,5486.80,1894.00,10289.00
2021-08-25,Facebook,6311.14,1060.00,24969.00
2021-08-25,Google,9478.00,877.00,31033.00
2021-08-26,Facebook,7681.00,1537.00,25389.00
2021-08-26,Google,6543.25,1485.00,15246.00
2021-08-27,Facebook,10240.29,1565.00,23609.00
2021-08-27,Google,3864.33,1480.00,5625.00
2021-08-28,Facebook,10266.29,0.00,30697.00
2021-08-28,Google,8139.00,0.00,30781.00
2021-08-29,Facebook,8533.00,883.00,24329.00
2021-08-29,Google,7696.00,2585.00,11206.00
2021-08-30,Facebook,11620.43,321.00,41534.00
2021-08-30,Google,8875.00,1300.00,22557.00
2021-08-31,Facebook,5058.88,0.00,22141.00
2021-08-31,Google,6964.00,791.00,11692.00
2021-09-01,Facebook,5796.86,1423.00,19395.00
2021-09-01,Google,23303.50,9435.00,37172.00
2021-09-02,Facebook,5409.67,1465.00,15981.00
2021-09-02,Google,4317.00,1562.00,12089.00
2021-09-03,Facebook,9906.33,911.00,38244.00
2021-09-03,Google,7855.83,726.00,30007.00
2021-09-04,Facebook,12220.13,859.00,38400.00
2021-09-04,Google,10525.25,651.00,36603.00
2021-09-05,Facebook,7174.50,644.00,25688.00
2021-09-05,Google,11657.00,608.00,32003.00
2021-09-06,Facebook,6736.13,1005.00,25487.00
2021-09-06,Google,4308.75,918.00,9928.00
2021-09-07,Facebook,7951.22,188.00,40008.00
2021-09-07,Google,2263.50,954.00,4854.00
2021-09-08,Facebook,9554.38,517.00,31305.00
2021-09-08,Google,3305.25,283.00,9429.00
2021-09-09,Facebook,4737.78,417.00,16538.00
2021-09-09,Google,4662.33,1252.00,6872.00
2021-09-10,Facebook,8128.30,195.00,42850.00
2021-09-10,Google,5636.83,1411.00,20913.00
2021-09-11,Facebook,6464.11,306.00,21751.00
2021-09-11,Google,6053.50,352.00,15909.00
2021-09-12,Facebook,6706.83,1535.00,18960.00
2021-09-12,Google,8286.25,747.00,17294.00
2021-09-13,Facebook,5615.70,132.00,18484.00
2021-09-13,Google,3868.20,1173.00,11383.00
2021-09-14,Facebook,10139.00,173.00,31171.00
2021-09-14,Google,7188.17,583.00,23932.00
2021-09-15,Facebook,11287.63,387.00,33908.00
2021-09-15,Google,12230.50,631.00,36435.00
2021-09-16,Facebook,5743.00,839.00,21099.00
2021-09-16,Google,3830.00,2372.00,5754.00
2021-09-17,Facebook,5376.43,1630.00,14371.00
2021-09-17,Google,4149.75,1864.00,7212.00
2021-09-18,Facebook,9182.44,853.00,29384.00
2021-09-18,Google,3687.50,1646.00,8648.00
2021-09-19,Facebook,6290.00,177.00,23459.00
2021-09-19,Google,5896.00,230.00,13671.00
2021-09-20,Facebook,8905.50,287.00,34193.00
2021-09-20,Google,5691.00,1502.00,12608.00
2021-09-21,Facebook,7344.75,477.00,23588.00
2021-09-21,Google,10684.00,1854.00,28966.00
2021-09-22,Facebook,5532.88,1115.00,16413.00
2021-09-22,Google,3988.00,2914.00,5385.00
2021-09-23,Facebook,6622.71,181.00,19439.00
2021-09-23,Google,4555.20,71.00,15997.00
2021-09-24,Facebook,6763.43,67.00,19333.00
2021-09-24,Google,4913.33,903.00,10053.00
2021-09-25,Facebook,5279.22,35.00,20670.00
2021-09-25,Google,7048.20,14.00,20865.00
2021-09-26,Facebook,7325.63,23.00,21809.00
2021-09-26,Google,6862.00,22.00,18733.00
2021-09-27,Facebook,6270.00,72.00,21265.00
2021-09-27,Google,3818.00,55.00,6333.00
2021-09-28,Facebook,9037.25,33.00,25031.00
2021-09-28,Google,3984.80,540.00,13999.00
2021-09-29,Facebook,5676.44,14.00,18522.00
2021-09-29,Google,4021.50,23.00,12537.00
2021-09-30,Facebook,5734.11,72.00,17208.00
2021-09-30,Google,2257.40,49.00,4288.00
2021-10-01,Facebook,7165.25,61.00,20321.00
2021-10-01,Google,8631.00,50.00,20800.00
2021-10-02,Facebook,7421.11,43.00,22587.00
2021-10-02,Google,4283.75,1171.00,7909.00
2021-10-03,Facebook,7862.71,12.00,21796.00
2021-10-03,Google,6387.00,17.00,17926.00
2021-10-04,Facebook,5803.00,30.00,18813.00
2021-10-04,Google,3848.83,27.00,13327.00
2021-10-05,Facebook,7001.11,11.00,20669.00
2021-10-05,Google,1521.20,10.00,5712.00
