event_date,source,medium,campaign,user_sessions_count,visit_to_cart,visit_to_checkout,visit_to_purchase
2020-11-29,(data deleted),(data deleted),<Other>,4,0.25,0.0,0.0
2020-11-30,<Other>,referral,(referral),457,0.12035010940919037,0.061269146608315096,0.032822757111597371
2020-11-30,(data deleted),(data deleted),(data deleted),321,0.13084112149532709,0.059190031152647975,0.040498442367601244
2020-11-30,shop.googlemerchandisestore.com,referral,(referral),357,0.1092436974789916,0.0784313725490196,0.047619047619047616
2020-11-30,google,organic,(organic),1412,0.080736543909348438,0.048158640226628892,0.024787535410764873
2020-11-30,(direct),(none),(direct),979,0.094994892747701731,0.057201225740551587,0.024514811031664963
2020-11-30,google,cpc,<Other>,225,0.10222222222222223,0.04,0.03111111111111111
2020-11-30,<Other>,<Other>,<Other>,633,0.080568720379146919,0.047393364928909949,0.020537124802527645
2020-11-30,<Other>,organic,(organic),134,0.097014925373134331,0.029850746268656716,0.014925373134328358
2020-11-30,<Other>,(data deleted),(data deleted),4,0.25,0.25,0.25
2020-11-30,(data deleted),(data deleted),<Other>,2,0.0,0.0,0.0
2020-12-01,<Other>,<Other>,<Other>,684,0.0935672514619883,0.049707602339181284,0.024853801169590642
2020-12-01,(direct),(none),(direct),1115,0.095067264573991034,0.050224215246636769,0.02062780269058296
2020-12-01,google,organic,(organic),1533,0.091324200913242,0.04044357469015003,0.0136986301369863
2020-12-01,(data deleted),(data deleted),(data deleted),320,0.115625,0.0625,0.04375
2020-12-01,<Other>,referral,(referral),485,0.096907216494845363,0.053608247422680409,0.026804123711340205
2020-12-01,google,cpc,<Other>,202,0.09405940594059406,0.044554455445544552,0.014851485148514851
